,car_park_no,address,car_park_type,type_of_parking_system,free_parking,night_parking,car_park_basement,address_adj,Name (English),Region
1709,PDL2,681 PUNGGOL DR,BASEMENT CAR PARK,ELECTRONIC PARKING,NO,YES,Y,PUNGGOL,PUNGGOL,North-East
1710,PL10,BLK 174 PUNGGOL FIELD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1711,PL11,BLK 175 PUNGGOL FIELD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1712,PL12,BLK 137 EDGEDALE PLAINS,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1713,PL13,BLK 131 EDGEDALE PLAINS,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1714,PL14,BLK 292 PUNGGOL CENTRAL,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1715,PL15,BLK 171 EDGEDALE PLAINS,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1716,PL16,BLK 180 EDGEFIELD PLAINS,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1717,PL17,BLK 642 PUNGGOL DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1718,PL18,BLK 162 PUNGGOL CENTRAL,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1719,PL19,"BLK 186-188,190-192 PUNGGOL CENTRAL",BASEMENT CAR PARK,ELECTRONIC PARKING,NO,NO,Y,PUNGGOL,PUNGGOL,North-East
1720,PL20,BLK 638 PUNGGOL DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1721,PL21,BLK 166 PUNGGOL CENTRAL,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1722,PL22,BLK 644 PUNGGOL CENTRAL,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1723,PL23,BLK 201 PUNGGOL FIELD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1724,PL24,BLK 178 & 193 EDGEFIELD PLAINS,BASEMENT CAR PARK,ELECTRONIC PARKING,NO,NO,Y,PUNGGOL,PUNGGOL,North-East
1725,PL25,BLK 172 EDGEDALE PLAINS,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1726,PL26,BLK 650 PUNGGOL CENTRAL,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1727,PL27,BLK 204 PUNGGOL FIELD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1728,PL28,BLK 194 PUNGGOL ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1729,PL29,BLK 633 PUNGGOL DRIVE,BASEMENT CAR PARK,ELECTRONIC PARKING,NO,NO,Y,PUNGGOL,PUNGGOL,North-East
1730,PL30,BLK 170D PUNGGOL EAST,BASEMENT CAR PARK,ELECTRONIC PARKING,NO,NO,Y,PUNGGOL,PUNGGOL,North-East
1731,PL31,BLK 301 PUNGGOL CENTRAL,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,PUNGGOL,PUNGGOL,North-East
1732,PL32,BLK 302 PUNGGOL PLACE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,PUNGGOL,PUNGGOL,North-East
1733,PL33,BLK 621A - 621B EDGEFIELD WALK,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,PUNGGOL,PUNGGOL,North-East
1734,PL34,BLK 603 PUNGGOL ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1735,PL35,BLK 602 PUNGGOL CENTRAL,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1736,PL36,BLK 305 PUNGGOL ROAD,COVERED CAR PARK,ELECTRONIC PARKING,NO,YES,N,PUNGGOL,PUNGGOL,North-East
1737,PL37,BLK 614 EDGEFIELD PLAINS,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1738,PL38,BLK 612 PUNGGOL DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1739,PL39,BLK 267 PUNGGOL FIELD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,PUNGGOL,PUNGGOL,North-East
1740,PL40,BLK 270 PUNGGOL FIELD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,NO,N,PUNGGOL,PUNGGOL,North-East
1741,PL41,BLK 273 PUNGGOL PLACE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,PUNGGOL,PUNGGOL,North-East
1742,PL42,BLK 616 PUNGGOL DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,NO,N,PUNGGOL,PUNGGOL,North-East
1743,PL43,BLK 288 PUNGGOL PLACE,COVERED CAR PARK,ELECTRONIC PARKING,NO,YES,N,PUNGGOL,PUNGGOL,North-East
1744,PL44,BLK 206A PUNGGOL PLACE,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,PUNGGOL,PUNGGOL,North-East
1745,PL45,BLK 169 PUNGGOL FIELD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,NO,N,PUNGGOL,PUNGGOL,North-East
1746,PL46,BLK 624 PUNGGOL CENTRAL,COVERED CAR PARK,ELECTRONIC PARKING,NO,NO,N,PUNGGOL,PUNGGOL,North-East
1747,PL47,BLK 207 PUNGGOL PLACE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,NO,N,PUNGGOL,PUNGGOL,North-East
1748,PL48,BLK 271 PUNGGOL WALK,COVERED CAR PARK,ELECTRONIC PARKING,NO,NO,N,PUNGGOL,PUNGGOL,North-East
1749,PL49,BLK 210 PUNGGOL PLACE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,NO,N,PUNGGOL,PUNGGOL,North-East
1750,PL50,BLK 211 PUNGGOL WALK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,NO,N,PUNGGOL,PUNGGOL,North-East
1751,PL51,BLK 213 PUNGGOL WALK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1752,PL52,BLK 312 SUMANG LINK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1753,PL53,BLK 266 PUNGGOL WAY,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,PUNGGOL,PUNGGOL,North-East
1754,PL54,BLK 259 PUNGGOL FIELD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1755,PL55,BLK 261 PUNGGOL WAY,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,PUNGGOL,PUNGGOL,North-East
1756,PL56,BLK 672 EDGEFIELD PLAINS,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1757,PL57,BLK 665 PUNGGOL DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1758,PL58,663  PUNGGOL DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1759,PL59,BLK 308 PUNGGOL WALK,BASEMENT CAR PARK,ELECTRONIC PARKING,NO,YES,Y,PUNGGOL,PUNGGOL,North-East
1760,PL60,BLK 670 EDGEFIELD PLAINS,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1761,PL61,BLK 678 PUNGGOL DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,PUNGGOL,PUNGGOL,North-East
1762,PL62,BLK 256 SUMANG WALK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1763,PL63,BLK 677 PUNGGOL DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,PUNGGOL,PUNGGOL,North-East
1764,PL64,BLK 676 PUNGGOL DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,PUNGGOL,PUNGGOL,North-East
1765,PL65,BLK 310 PUNGGOL WALK,BASEMENT CAR PARK,ELECTRONIC PARKING,NO,YES,Y,PUNGGOL,PUNGGOL,North-East
1766,PL66,BLK 121 EDGEDALE PLAINS,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1767,PL67,BLK 314 PUNGGOL WAY,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1768,PL68,BLK 217 SUMANG WALK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,PUNGGOL,PUNGGOL,North-East
1769,PL69,BLK 661 EDGEDALE PLAINS,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1770,PL70,BLK 226 SUMANG LANE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,PUNGGOL,PUNGGOL,North-East
1771,PL71,BLK 682 EDGEDALE PLAINS EDGEDALE PLAINS,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1772,PL72,BLK 222 SUMANG LANE SUMANG LANE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1773,PL73,BLK 228 PUNGGOL FIELD,MULTI-STOREY CAR PARK,COUPON PARKING,NO,YES,N,PUNGGOL,PUNGGOL,North-East
1774,PL74,BLK 233 SUMANG LANE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1775,PL75,BLK 325 SUMANG WALK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1776,PL76,BLK 326 SUMANG WALK SUMANG WALK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1777,PL77,BLK 659 PUNGGOL EAST ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1778,PL78,BLK 322 SUMANG WALK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1779,PL80,BLK 407A-407B NORTHSHORE WALK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,PUNGGOL,PUNGGOL,North-East
1780,PL81,BLK 421A NORTHSHORE DRIVE,BASEMENT CAR PARK,ELECTRONIC PARKING,NO,YES,Y,PUNGGOL,PUNGGOL,North-East
1781,PL82,BLK 413A NORTHSHORE DR,BASEMENT CAR PARK,ELECTRONIC PARKING,NO,YES,Y,PUNGGOL,PUNGGOL,North-East
1782,PL83,BLK 419A NORTHSHORE DRIVE,BASEMENT CAR PARK,ELECTRONIC PARKING,NO,YES,Y,PUNGGOL,PUNGGOL,North-East
1783,P1,BLK 196 PUNGGOL FIELD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1784,P2,BLK 199 PUNGGOL FIELD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1785,P3,BLK 101 PUNGGOL FIELD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1786,P34L,PUNGGOL ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,PUNGGOL,PUNGGOL,North-East
1787,P35L,PUNGGOL CENTRAL,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,PUNGGOL,PUNGGOL,North-East
1788,P4,BLK 105 EDGEFIELD PLAINS,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1789,P5,BLK 107 PUNGGOL FIELD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1790,P5L,BLK 106A PUNGGOL FIELD,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,PUNGGOL,PUNGGOL,North-East
1791,P6,BLK 109 PUNGGOL FIELD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1792,P6L,BLK 109B PUNGGOL FIELD,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,PUNGGOL,PUNGGOL,North-East
1793,P7,BLK 119 EDGEFIELD PLAINS,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1794,P73L,BLK 229A & 229B SUMANG LANE,SURFACE CAR PARK,COUPON PARKING,NO,NO,N,PUNGGOL,PUNGGOL,North-East
1795,P76L,BLK 327A SUMANG WALK,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,PUNGGOL,PUNGGOL,North-East
1796,P77L,BLK 659 PUNGGOL EAST,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,PUNGGOL,PUNGGOL,North-East
1797,P8,BLK 126 EDGEDALE PLAINS,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1798,P9,BLK 128 PUNGGOL FIELD WALK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PUNGGOL,PUNGGOL,North-East
1799,PDR2,BLK 258 PASIR RIS ST 21,SURFACE/MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,PASIR RIS,PASIR RIS,East
1800,PDR6,BLK 624A ELIAS RD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,PASIR RIS,PASIR RIS,East
1801,PDR7,BLK 734 PASIR RIS ST 72,SURFACE/MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,PASIR RIS,PASIR RIS,East
1802,PLB1,BLK 440 PASIR RIS DRIVE 4,SURFACE CAR PARK,COUPON PARKING,NO,NO,N,PASIR RIS,PASIR RIS,East
1803,PM1,473A PASIR RIS DR 6,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1804,PM10,BLK 204A PASIR RIS STREET 21,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,PASIR RIS,PASIR RIS,East
1805,PM11,BLK 269A PASIR RIS STREET 21,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1806,PM12,BLK 272A PASIR RIS STREET 21,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1807,PM13,BLK 199A PASIR RIS STREET 12,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1808,PM14,BLK 180A PASIR RIS STREET 11,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1809,PM15,BLK 158A PASIR RIS STREET 13,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1810,PM16,BLK 149A PASIR RIS STREET 13,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1811,PM17,BLK 142A PASIR RIS STREET 11,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1812,PM18,BLK 135A PASIR RIS STREET 11,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1813,PM19,BLK 108A PASIR RIS STREET 12,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1814,PM2,BLK 220A PASIR RIS STREET 21,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1815,PM20,BLK 526 PASIR RIS STREET 51,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,PASIR RIS,PASIR RIS,East
1816,PM21,BLK 530 PASIR RIS DR 1,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,PASIR RIS,PASIR RIS,East
1817,PM22,BLK 555A PASIR RIS STREET 51,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1818,PM23,BLK 564A PASIR RIS STREET 51,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1819,PM24,BLK 561A PASIR RIS STREET 51,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1820,PM25,BLK 500A PASIR RIS STREET 52,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1821,PM26,BLK 521A PASIR RIS STREET 52,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1822,PM27,BLK 578A PASIR RIS STREET 53,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1823,PM28,BLK 586A PASIR RIS STREET 53,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1824,PM29,BLK 601A ELIAS ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1825,PM3,BLK 225A PASIR RIS STREET 21,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1826,PM30,BLK 614A ELIAS ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,NO,N,PASIR RIS,PASIR RIS,East
1827,PM32,BLK 631A PASIR RIS DRIVE 3,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1828,PM33,BLK 635A PASIR RIS DRIVE 1,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1829,PM34,BLK 649A PASIR RIS DRIVE 10,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1830,PM35,BLK 700A PASIR RIS DRIVE 10,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1831,PM36,BLK 710A PASIR RIS STREET 72,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1832,PM37,BLK 718A PASIR RIS STREET 72,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1833,PM38,BLK 736A PASIR RIS DRIVE 10,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1834,PM4,BLK 231A PASIR RIS DRIVE 4,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1835,PM40,BLK 744A PASIR RIS STREET 71,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,PASIR RIS,PASIR RIS,East
1836,PM41,BLK 747A PASIR RIS STREET 71,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1837,PM43,BLK 757A PASIR RIS ST 71,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1838,PM44,BLK 762A PASIR RIS STREET 71,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1839,PM45,BLK 773A PASIR RIS STREET 71,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1840,PM46,BLK 782A PASIR RIS STREET 71,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,PASIR RIS,PASIR RIS,East
1841,PM5,BLK 235A PASIR RIS STREET 21,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1842,PM6,BLK 245A PASIR RIS STREET 21,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1843,PM7,BLK 257A PASIR RIS STREET 21,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1844,PM8,BLK 458A PASIR RIS DRIVE 4,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1845,PM9,BLK 216A PASIR RIS STREET 21,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1846,PRM1,BLK 441A PASIR RIS DRIVE 6,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1847,PRS1,BLK 212A PASIR RIS STREET 21,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,PASIR RIS,PASIR RIS,East
1848,PR1,BLK 101/108 PASIR RIS STREET 12,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1849,PR10,BLK 467/477 PASIR RIS DRIVE 6,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1850,PR11,BLK 478/487 PASIR RIS DRIVE 4,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,NO,N,PASIR RIS,PASIR RIS,East
1851,PR12,BLK 544/556 PASIR RIS STREET 51,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,PASIR RIS,PASIR RIS,East
1852,PR13,"BLK 537-543, 564-569 PASIR RIS STREET 51",SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,PASIR RIS,PASIR RIS,East
1853,PR14,BLK 557-562 PASIR RIS ST 51,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,PASIR RIS,PASIR RIS,East
1854,PR2,BLK 109/129 PASIR RIS STREET 11,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,PASIR RIS,PASIR RIS,East
1855,PR3,BLK 531/536 PASIR RIS DR 1/PASIR RIS CENTRAL,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,PASIR RIS,PASIR RIS,East
1856,PR4,BLK 406/411 PASIR RIS DRIVE 6,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,PASIR RIS,PASIR RIS,East
1857,PR5,"BLK 405/406, 412/429 PASIR RIS DRIVE 6",SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,PASIR RIS,PASIR RIS,East
1858,PR6,BLK 441/445 PASIR RIS DRIVE 6,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,PASIR RIS,PASIR RIS,East
1859,PR7,BLK 446/455 PASIR RIS DRIVE 6,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,PASIR RIS,PASIR RIS,East
1860,PR8,BLK 456/461 PASIR RIS DRIVE 4,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,PASIR RIS,PASIR RIS,East
